0000-001F: C0控制
2648-2653: 十二生肖符號
2654-265F: 象棋符號
2660-2667: 撲克牌符號
2668-2668: 雜項符號
2669-266F: 音樂符號
2670-2671: 敘利亞十字符號
2672-267D: 回收符號
267E-267F: 雜項符號
2680-2685: 骰子
2686-2689: 去標記
268A-268F: 易經會標和會標符號
2690-269B: 字典和地圖符號
269C-269D: 雜項符號
269E-269F: 隱藏字幕的符號來自ARIB STD B24
26A0-26A1: 雜項符號
26A2-26A9: 性別符號
26AA-26AC: 界
26AD-26B1: 家譜符號
26B2-26B2: 性別符號
26B3-26B8: 星座
26B9-26BC: 占星學方面
26BD-26BE: 體育符號
26BF-26BF: ARIB STD B24中的其他符號
26C0-26C3: 草稿和檢查器的符號
26C4-26C8: 天氣符號從ARIB STD B24
26C9-26CB: ARIB STD B24中的遊戲符號
26CC-26CD: 交通標誌起ARIB STD B24
26CE-26CE: 十二生肖符號
26CF-26E1: 交通標誌起ARIB STD B24
26E2-26E2: 天文符號
26E3-26E3: ARIB STD B24中的地圖符號
26E4-26E7: 五角星符號
26E8-26FF: ARIB STD B24中的地圖符號
2700-2718: 雜
2719-2720: 十字架
2721-273D: 星號和星號
273E-2741: 芙蓉
2742-274B: 星星，星號和雪花
274C-275A: 雜
275B-2765: 標點符號飾品
2766-2767: 芙蓉
2768-2775: 觀賞括號
2776-2793: Dingbat帶圓圈的數字
2794-2794: 丁巴特箭
2795-2797: 算術符號的大量變體
2798-27AF: 丁巴特箭
27B0-27B0: 雜
27B1-27BE: 丁巴特箭
27BF-27BF: 雜
27C0-27C4: 雜項符號
27C5-27C6: 配對標點
27C7-27C7: 操作員
27C8-27C9: 雜項符號
27CA-27CA: 垂直線算子
27CB-27CB: 雜項符號
27CC-27CC: 部門運營商
27CD-27CD: 雜項符號
27CE-27CF: 經營者
27D0-27D0: 雜項符號
27D1-27D4: 經營者
27D5-27D7: 數據庫理論運算符
27D8-27DF: 大頭釘和旋轉門
27E0-27E5: 模態邏輯運算符
27E6-27EF: 數學括號
27F0-27F4: 箭
27F5-27FF: 長箭頭
2800-28FF: 盲文圖案
2900-2918: 雜箭
2919-291C: 箭尾
291D-2926: 雜箭
2927-2932: 結理論的交叉箭頭
2933-2941: 雜項彎曲箭頭
2942-2949: 箭頭與運算符結合
294A-2951: 雙刺魚叉
2952-2961: 改良魚叉
2962-296F: 配對魚叉
2970-2970: 雜箭
2971-297B: 箭頭結合關係
297C-297F: 魚尾巴
2980-2982: 各種數學符號
2983-298C: 括號
298D-2990: 帶刻度的括號
2991-2998: 括號
2999-299A: 圍欄
299B-29AF: 角度
29B0-29B4: 空集
29B5-29C3: 圓形符號
29C4-29C9: 方形符號
29CA-29D0: 三角形符號
29D1-29D7: 領結符號
29D8-29DB: 圍欄
29DC-29E2: 各種數學符號
29E3-29E6: 關係
29E7-29ED: 各種數學符號
29EE-29F3: 誤差線符號
29F4-29F7: 各種數學符號
29F8-29F9: 大型運營商
29FA-29FB: 專業加號運算符
29FC-29FD: 括號
29FE-29FF: 博弈論中使用的符號
2A00-2A09: N元運算符
2A0A-2A1C: 求和與積分
2A1D-2A21: 雜項大型運營商
2A22-2A2E: 加號和減號運算符
2A2F-2A38: 乘法和除法符號運算符
2A39-2A3F: 雜項數學運算符
2A40-2A50: 交叉口和聯合
2A51-2A63: 邏輯與
2A64-2A65: 雜項數學運算符
2A66-2ABC: 關係運算符
2ABD-2AD8: 子集和超集關係
2AD9-2ADD: 前叉
2ADE-2AED: 大頭釘和旋轉門
2AEE-2AF5: 垂直線運算符
2AF6-2AF6: 雜項數學運算符
2AF7-2AFB: 關係
2AFC-2AFF: 經營者
2B00-2B0D: 白色和黑色箭頭
2B0E-2B11: 彎尖的箭頭
2B12-2B15: 方格
2B16-2B19: 鑽石
2B1A-2B1E: 方格
2B1F-2B20: 五邊形
2B21-2B23: 六邊形
2B24-2B24: 圈
2B25-2B2B: 鑽石和錠劑
2B2C-2B2F: 橢圓形
2B30-2B4C: 數學箭頭
2B4D-2B4D: 雜箭
2B4E-2B4F: 立陶宛語的語調標記
2B50-2B52: 星星
2B53-2B54: 五邊形
2B55-2B55: 來自ARIB STD B24的交通標誌
2B56-2B59: ARIB STD B24的字典和地圖符號
2B5A-2B5F: 立陶宛語的語調標記
2B60-2B7D: 三角形箭頭
2B7E-2B7F: 鍵盤符號
2B80-2B87: 成對的三角形箭頭
2B88-2B8B: 圓圈箭頭
2B8C-2B8F: 三角形U形箭頭
2B90-2B93: 鍵盤符號
2B94-2B94: 雜項箭頭符號
2B95-2B95: 黑色箭頭
2B97-2B97: 雜項符號
2B98-2B9F: 箭頭
2BA0-2BA7: 尖頭三角形箭頭
2BA8-2BAF: 黑色彎曲的箭頭
2BB0-2BB7: 色帶箭頭
2BB8-2BB9: 鍵盤符號
2BBA-2BBC: 國際象棋符號中使用的符號
2BBD-2BBF: 幾何符號
2BC0-2BC8: 居中的幾何形狀
2BC9-2BC9: 天文符號
2BCA-2BCB: 半圈
2BCC-2BCF: 尖頭形狀
2BD0-2BD2: 雜項符號
2BD3-2BD6: 冥王星的占星符號
2BD7-2BDF: 雜項占星符號
2BE0-2BE7: 烏拉圭星象符號
2BE8-2BEB: 半星字符
2BEC-2BEF: 兩頭箭頭符號
2BF0-2BF2: Eris和Sedna的占星符號
2BF3-2BF8: 俄羅斯占星學方面
2BF9-2BFE: 國際象棋符號中使用的符號
2BFF-2BFF: 雜項符號
#2C00-2C2F: ***Capital letters
#2C30-2C5F: ***Small letters
2C60-2C66: 拼寫拉丁文字
2C67-2C6C: 維吾爾文的補充
2C6D-2C74: 雜項添加
2C75-2C76: 克勞迪亞字母
2C77-2C7D: UPA的補充
2C7E-2C7F: 紹納語的附加
2C80-2CB1: Bohairic科普特字母
2CB2-2CDB: 科普特語和方言字母
2CDC-2CE3: 舊的努比亞字母
2CE4-2CEA: 符號
2CEB-2CEE: 密碼字母
2CEF-2CF1: 合併標記
2CF2-2CF3: Bohairic科普特字母
2CF9-2CFC: 老努比亞標點
2CFD-2CFD: 數字字符
2CFE-2CFF: 標點
2D00-2D25: 小寫字母（Khutsuri）
2D27-2D27: 附加字母
2D2D-2D2D: 奧塞梯的附加字母
2D30-2D67: 字母
2D6F-2D6F: 修飾語
2D70-2D70: 標點
2D7F-2D7F: 標誌
2D80-2D92: 我的音節
2D93-2D96: Blin的音節
2DA0-2DBE: 板凳音節
2DC0-2DDE: Sebatbeit的音節
2DE0-2DFF: 斯拉夫老教堂結合字母
2E00-2E0D: 新約社論符號
2E0E-2E16: 古希臘文字符號
2E17-2E17: 古代近東語言符號
2E18-2E19: 一般標點符號
2E1A-2E1B: 字典標點
2E1C-2E1D: 括號
2E1E-2E1F: 字典標點
2E20-2E21: 括號
2E22-2E25: 半括號
2E26-2E29: 括號
2E2A-2E31: 標點符號
2E32-2E32: 古風音譯符號
2E33-2E34: 標點符號
2E35-2E39: 古風音譯符號
2E3A-2E3B: 破折號
2E3C-2E3E: 標點符號的其他形式
2E3F-2E3F: 標點符號
2E40-2E40: 雙連字符
2E41-2E42: 反標點
2E43-2E44: 其他標點符號
2E45-2E49: 標點符號
#2E4A-2E54: ***Historic punctuation
#2E55-2E58: ***Brackets
#2E59-2E5C: ***Parentheses top and bottom halves
#2E5D-2E5D: ***Oblique hyphen
2E80-2EF3: 中日韓自由基補充
2F00-2FD5: 康熙自由基
2FF0-2FFB: 表意文字
3000-3007: 中日韓符號和標點符號
3008-300B: CJK尖括號
300C-300F: CJK角支架
3010-3011: CJK支架
3012-3013: 中日韓符號
3014-301B: CJK支架
301C-301F: 中日韓標點
3020-3020: 中日韓符號
3021-3029: 蘇州數字
302A-302F: 合併音調標記
3030-3030: 其他中日韓標點
3031-3035: 假名重複標記
3036-3037: 其他CJK符號
3038-303A: 附加蘇州數字
303B-303D: 其他中日韓標點
303E-303F: 特殊的中日韓指標
3041-3094: 平假名字母
3095-3096: 小寫字母
3099-309C: 發聲標記
309D-309E: 重複標記
309F-309F: 平假名
30A0-30A0: 片假名標點
30A1-30FA: 片假名字母
30FB-30FC: 連詞和長度標記
30FD-30FE: 重複標記
30FF-30FF: 片假名圖
3105-3129: 依據GB 2312
312A-312C: 方言（非普通話）字母
312D-312F: 雜項添加
3131-314E: 輔音字母
314F-3163: 元音字母
3164-3164: 特殊字符
3165-3186: 老輔音字母
3187-318E: 舊元音字母
3190-3190: 泰滕
3191-319F: 凱里滕
31A0-31B7: 閩南和客家的擴展Bopomofo
31B8-31BA: 用於Hmu和Ge的擴展Bopomofo
31BB-31BB: 閩南和客家的擴展Bopomofo
31BC-31BF: 粵語擴展Bopomofo
31C0-31E3: 中日韓風
31F0-31FF: 阿伊努語的語音擴展
3200-320D: 帶括號的韓文字母
320E-321C: 帶括號的韓文音節
321D-321E: 帶括號的韓語單詞
3220-3243: 帶括號的表意文字
3244-3247: 圓形表意文字起ARIB STD B24
3248-324F: 黑色方塊上的圓圈數字起ARIB STD B24
3250-3250: 平方拉丁文縮寫
3251-325F: 帶圓圈的數字
3260-326D: 帶圓圈的韓文字母
326E-327B: 圈出的韓文音節
327C-327D: 帶圓圈的韓語單詞
327E-327E: 帶圓圈的韓文音節
327F-327F: 符號
3280-32B0: 盤旋表意文字
32B1-32BF: 帶圓圈的數字
32C0-32CB: 數月的電報符號
32CC-32CF: 平方的拉丁文縮寫
32D0-32FE: 帶圓圈的片假名
32FF-32FF: 日本時代名稱
3300-3357: 片假名平方字
3358-3370: 數小時的電報符號
3371-337A: 平方的拉丁文縮寫
337B-337E: 日本時代的名字
337F-337F: 日本公司
3380-3394: 平方的拉丁文縮寫
3395-3398: 涉及公升符號的縮寫
3399-33DF: 平方的拉丁文縮寫
33E0-33FE: 幾天的電報符號
33FF-33FF: 平方拉丁文縮寫
4DC0-4DFF: 易經六卦符號
A000-A014: 音節
A015-A015: 音節迭代標記
A016-A48C: 音節
A490-A4C6: 易自由基
A4D0-A4ED: 輔音
A4EE-A4F7: 元音
A4F8-A4FD: 音調
A4FE-A4FF: 標點
A500-A523: -ee中的音節
A524-A548: -i中的音節
A549-A570: -a中的音節
A571-A594: -oo中的音節
A595-A5B9: -u中的音節
A5BA-A5E0: -o中的音節
A5E1-A60A: -e中的音節
A60B-A60C: 音節決賽
A60D-A60F: 標點
A610-A612: 歷史音節
A613-A61F: 對數圖
A620-A629: 位數
A62A-A62B: 歷史音節
A640-A66E: 西里爾字母
A66F-A66F: 簡稱
A670-A672: 組合數字符號
A673-A673: 標點符號
A674-A67D: 西里爾字母的組合標記
A67E-A67E: 標點符號
A67F-A67F: 修飾語
A680-A697: 舊阿布哈茲正字法的信件
A698-A69B: 西里爾字母
A69C-A69D: 立陶宛語的語調標記
A69E-A69F: 西里爾字母的組合標記
A6A0-A6EF: 音節
A6F0-A6F1: 合併標記
A6F2-A6F7: 標點
A700-A707: 中文角音標記
A708-A711: 點綴字母
A712-A716: 左莖音調字母
A717-A71A: Chinantec音標
A71B-A71F: 非洲人語調字母
A720-A721: UPA的補充
A722-A725: 埃及學的補充
A726-A72F: 瑪雅主義者的補充
A730-A778: Medievalist補充
A779-A787: 凱爾特人的信件
A788-A78A: 修飾語字母
A78B-A78C: 英文字母拼寫
A78D-A78D: 附加字母
A78E-A78E: 語音符號
A78F-A78F: 音譯信
A790-A793: 附加字母
A794-A795: 立陶宛方言的補充
A796-A797: 越南中信
A798-A799: 母羊的古字母
A79A-A79F: 沃拉普克語的古字母
A7A0-A7A9: 1921年以前的拉脫維亞拼字法信函
A7AA-A7AD: 附加字母
A7AE-A7AE: 西非語言字母
A7AF-A7AF: 日語音標的信
A7B0-A7B1: 給美國主義者的拼字法的信
A7B2-A7B2: 非洲語言字母
A7B3-A7B3: 德國方言信
A7B4-A7B7: 非洲語言字母
A7B8-A7B9: 馬扎瓦（墨西哥）的來信
A7BA-A7BF: 烏干達和埃及學音譯的信件
#A7C0-A7C3: ***Additional medieval letters
A7C4-A7C6: 拼音早期羅馬化中使用的字母
A7C7-A7CA: 加里什（Gaulish）的其他信件
#A7D0-A7D5: ***Letters used in the Middle English Ormulum
#A7D6-A7D9: ***Letters used in medieval palaeography
#A7F2-A7F3: ***Modifier letters for Chatino (México)
#A7F4-A7F4: ***Modifier letter for Japanese phonemic transcription
A7F5-A7F7: 古代Gaulish和凱爾特語的史詩字母
A7F8-A7F9: 擴展IPA的補充
A7FA-A7FA: UPA的附加
A7FB-A7FF: 古羅馬碑文
A800-A805: 獨立元音和dvisvara
A806-A806: 標誌
A807-A822: 輔音和輔音符號
A823-A827: 相關元音符號
A828-A82B: 詩痕
A82C-A82C: 標誌
A830-A836: 數字形式
A837-A837: 雜項標誌
A838-A838: 貨幣符號
A839-A839: 雜項標誌
A840-A85C: 輔音
A85D-A85D: 字母A
A85E-A861: 元音
A862-A865: 輔音
A866-A866: 元音
A867-A868: 次聯輔音
A869-A86C: 梵語的輔音添加
A86D-A870: 中文的輔音形式
A871-A871: 次連輔音
A872-A872: 藏文的輔音
A873-A873: 坎德拉賓杜
A874-A875: 藏文的頭部標記
A876-A877: 藏語標點符號
A880-A881: 各種標誌
A882-A891: 獨立元音
A892-A8B4: 輔音
A8B5-A8C3: 相關元音符號
A8C4-A8C4: 維拉瑪
A8C5-A8C5: 標誌
A8CE-A8CF: 標點
A8D0-A8D9: 位數
A8E0-A8F1: Samaveda的懸臂標記（svara）
A8F2-A8F7: 鼻腔化的痕跡
A8F8-A8FB: 編輯標記
A8FC-A8FD: 跡象
A8FE-A8FF: 附加元音和元音符號
A900-A909: 位數
#A90A-A921: ***Consonants
#A922-A92A: ***Vowels
A92B-A92D: 色調標記
A92E-A92F: 標點
A930-A946: 輔音
A947-A94E: 元音符號
A94F-A952: 輔音符號
A953-A953: 維拉瑪
A95F-A95F: 標點
A960-A97C: 舊的初始輔音
A980-A983: 各種標誌
A984-A9B2: 字母
A9B3-A9B3: 標誌
A9B4-A9BC: 相關元音符號
A9BD-A9BF: 輔音符號
A9C0-A9C0: 標誌
A9C1-A9CD: 標點
A9CF-A9CF: 音節複製器
A9D0-A9D9: 位數
A9DE-A9DF: 省略號
A9E0-A9E5: 珊帕利（Shan Pali）的補充
A9E6-A9E6: 重複標記
A9E7-A9EF: 大叻輔音
A9F0-A9F9: 大叻數字
A9FA-A9FE: 大叻輔音
AA00-AA05: 獨立元音
AA06-AA28: 輔音
AA29-AA32: 相關元音符號
AA33-AA36: 輔音符號
AA40-AA4D: 最終輔音
AA50-AA59: 位數
AA5C-AA5F: 標點
AA60-AA73: 康提山輔音
AA74-AA76: 康提山標誌
AA77-AA7A: 艾頓符號和字母
AA7B-AA7B: Pa'o Karen音標
AA7C-AA7D: 大叻音標
AA7E-AA7F: 瑞·帕勞信
AA80-AAAF: 輔音
AAB0-AABE: 元音和決賽
AABF-AAC2: 音調
AADB-AADC: 單詞連字符號
AADD-AADD: 重複標記
AADE-AADF: 標點
AAE0-AAE1: 獨立元音標誌
AAE2-AAEA: 輔音
AAEB-AAEF: 相關元音符號
AAF0-AAF1: 標點
AAF2-AAF2: 標誌
AAF3-AAF4: 重複標記
AAF5-AAF5: 標誌
AAF6-AAF6: 維拉瑪
AB01-AB0E: Gamo-Gofa-Dawro和Basketo
AB11-AB16: 加莫-戈法-道羅
AB20-AB2E: 古穆茲
AB30-AB5A: 德國方言字母
AB5B-AB5F: 德國方言的修飾詞
AB60-AB63: 薩哈（雅庫特）的歷史字母
AB64-AB65: 給美國主義者的拼字法的信
AB66-AB67: 國學轉錄函
AB68-AB6B: 蘇格蘭方言字母
AB70-ABBF: 小寫音節
ABC0-ABDA: 字母
ABDB-ABE2: 最終輔音
ABE3-ABEA: 相關元音符號
ABEB-ABED: 標點
ABF0-ABF9: 位數
D7B0-D7C6: 老內側元音
D7CB-D7FB: 舊的最終輔音
#F900-FA0B: ***Pronunciation variants from KS X 1001:1998
FA0C-FA0D: Big 5中的重複字符
FA0E-FA2D: IBM 32兼容性表意文字
FA2E-FA2F: 韓國兼容性表意文字
FA30-FA6A: JIS X 0213兼容性表意文字
FA6B-FA6D: ARIB兼容性表意文字
FA70-FAD9: DPRK兼容表意文字
FB00-FB06: 拉丁連字
FB13-FB17: 亞美尼亞連字
FB1D-FB4F: 希伯來語介紹表格
FB50-FBB1: 波斯語，烏爾都語，信德語等的上下文形式的字形
#FBB2-FBC2: ***Arabic pedagogical symbols
FBD3-FBE9: 中亞語言字母上下文形式的字形
FBEA-FD3D: 連字（兩個元素）
FD3E-FD3F: 標點
#FD40-FD4F: ***Honorific word ligatures
FD50-FDC7: 連字（三個元素）
#FDCF-FDCF: ***Honorific word ligature
FDD0-FDEF: 非字符
FDF0-FDFB: 單詞連字
FDFC-FDFC: 貨幣符號
#FDFD-FDFF: ***Honorific word ligatures
FE00-FE0D: 變體選擇器
FE0E-FE0F: 表情符號專用的變化選擇器
FE10-FE19: 垂直變體的字形
FE20-FE23: 結合半個標記
FE24-FE26: 科普特人的連續巨光
FE27-FE2D: 合併下面的一半標記
FE2E-FE2F: 結合半個標記
FE30-FE44: 垂直變體的字形
FE45-FE46: 側線強調標記
FE47-FE48: 垂直變體的字形
FE49-FE4F: 上劃線和下劃線
FE50-FE6B: 小型變體
FE70-FE72: 阿拉伯點間距形式的字形
FE73-FE73: 字形部分
FE74-FE7F: 阿拉伯點間距形式的字形
FE80-FEFC: 阿拉伯語語境形式的基本字形
FEFF-FEFF: 特別
FF01-FF5E: 全角ASCII變體
FF5F-FF60: 全角括號
FF61-FF64: 半角CJK標點
FF65-FF9F: 半角片假名變體
FFA0-FFDC: 半角韓文變體
FFE0-FFE6: 全角符號變體
FFE8-FFEE: 半角符號變體
FFF9-FFFB: 線性註釋
FFFC-FFFD: 替換字符
FFFE-FFFF: 非字符
10000-1003F: 基本音節
10040-1004D: 輔助標誌
10050-1005D: 符號
10080-1008D: 人與動物
1008E-10094: 穀物和植物
10095-10099: 提取物
1009A-1009C: 金屬製品
1009D-100DD: 其他材質
100DE-100FA: 船隻
10100-10102: 標點
10107-10133: 號碼
10137-1013F: 措施
10140-10174: 古希臘字母數字
10175-1018B: 古希臘語的古生物學數字
1018C-1018E: 古希臘符號
10190-10195: 羅馬度量衡
10196-1019A: 羅馬硬幣符號
1019B-1019C: 其他羅馬文字符號
101A0-101A0: 希臘符號
101D0-101FC: 跡象
101FD-101FD: 組合行程
10280-1029C: 字母
102A0-102D0: 字母
102E0-102E0: 標誌
102E1-102E9: 位數
102EA-102FB: 號碼
10300-1031A: 字母
1031B-1031C: 翁布里亞字母
1031D-1031E: 奧斯坎字母
1031F-1031F: 南皮切尼字母
10320-10323: 數詞
1032D-1032F: 北斜體字母
10330-1034A: 字母
10350-10375: 字母
10376-1037A: 組合字母
10380-1039D: 字母
1039F-1039F: 標點
103A0-103A2: 獨立元音
103A3-103C3: 輔音
103C8-103CF: 各種標誌
103D0-103D0: 標點
103D1-103D5: 號碼
10400-10427: 大寫字母
10428-1044F: 小寫字母
10450-10463: 高而深的字母（輔音）
10464-10477: 短字母
10478-1047F: 連字
10480-1049D: 字母
104A0-104A9: 位數
104B0-104D3: 大寫字母
104D8-104FB: 小寫字母
10500-10527: 字母
10530-10563: 字母
1056F-1056F: 標點
#10570-10595: ***Capital letters
#10597-105BC: ***Small letters
10600-1069F: 簡單的跡象
106A0-106B2: 花瓶形狀
106B3-10726: 複雜的跡象
10727-10736: 花瓶形狀的複雜標誌
10740-10755: 分數和復合分數
10760-10767: 附加標誌
#10780-10780: ***Modifier letter for VoQS
#10781-107BA: ***Modifier letters for IPA
10800-1083F: 音節
10840-10855: 字母
10857-10857: 標點
10858-1085F: 號碼
10860-10876: 字母
10877-10878: 符號
10879-1087F: 號碼
10880-1089E: 字母
108A7-108AF: 號碼
108E0-108F5: 字母
108FB-108FF: 號碼
10900-10915: 字母
10916-1091B: 號碼
1091F-1091F: 標點
10920-10939: 字母
1093F-1093F: 標點
10980-10983: 元音字母
10984-1099D: 輔音字母
1099E-1099F: 符號
109A0-109A3: 元音字母
109A4-109B7: 輔音字母
109BC-109BD: 分數
109BE-109BF: 對數圖
109C0-109C8: 位數
109C9-109CF: 十
109D2-109DA: 幾百
109DB-109E3: 千
109E4-109EC: 萬
109ED-109F5: 十萬
109F6-109FF: 分數
10A00-10A06: 元音
10A0C-10A0C: 長度標記
10A0D-10A0F: 各種標誌
10A10-10A35: 輔音
10A38-10A3A: 各種標誌
10A3F-10A3F: 維拉瑪
10A40-10A43: 位數
10A44-10A48: 數字和分數
10A50-10A58: 標點
10A60-10A7C: 字母
10A7D-10A7F: 號碼
10A80-10A9C: 字母
10A9D-10A9F: 號碼
10AC0-10AC7: 字母
10AC8-10AC8: 簡寫
10AC9-10AE4: 字母
10AE5-10AE6: 合併標記
10AEB-10AEF: 號碼
10AF0-10AF6: 標點
10B00-10B0F: 元音
10B10-10B35: 輔音
10B39-10B3F: 標點
10B40-10B55: 字母
10B58-10B5F: 號碼
10B60-10B72: 字母
10B78-10B7F: 號碼
10B80-10B91: 字母
10B99-10B9C: 標點
10BA9-10BAF: 號碼
10C00-10C08: 元音
10C09-10C48: 輔音
10C80-10CB2: 大寫字母
10CC0-10CF2: 小寫字母
10CFA-10CFF: 號碼
10D00-10D1B: 字母
10D1C-10D1C: 附加字母
10D1D-10D21: 元音
10D22-10D22: 元音消音器
10D23-10D23: 鼻化標記
10D24-10D26: 音調跡象
10D27-10D27: 萌芽跡象
10D30-10D39: 位數
10E60-10E68: 位數
10E69-10E7A: 號碼
10E7B-10E7E: 分數
10E80-10EA9: 字母
10EAB-10EAC: 合併標記
10EAD-10EAD: 標點
10EB0-10EB1: 與變音符號的歷史信件
#10EFD-10EFF: ***Quranic marks used in Turkey
10F00-10F1C: 字母
10F1D-10F26: 號碼
10F27-10F27: 結紮
10F30-10F44: 字母
10F45-10F45: 表音文字
10F46-10F50: 合併標記
10F51-10F54: 號碼
10F55-10F59: 標點
#10F70-10F81: ***Letters
#10F82-10F85: ***Combining signs
#10F86-10F89: ***Punctuation
10FB0-10FC4: 字母
10FC5-10FCB: 號碼
10FE0-10FF5: 字母
10FF6-10FF6: 結紮
11000-11004: 各種標誌
11005-11012: 獨立元音
11013-11037: 輔音
11038-11045: 相關元音符號
11046-11046: 維拉瑪
11047-1104D: 標點
11052-11065: 號碼
11066-1106F: 位數
#11070-11070: ***Virama
#11071-11072: ***Independent vowels
#11073-11074: ***Dependent vowel signs
#11075-11075: ***Consonant
1107F-1107F: 細木工
11080-11082: 各種標誌
11083-1108C: 獨立元音
1108D-110AF: 輔音
110B0-110B8: 相關元音符號
110B9-110B9: 維拉瑪
110BA-110BD: 各種標誌
110BE-110C1: 標點
#110C2-110C2: ***Vowel sign
110CD-110CD: 標誌
110D0-110E1: 輔音
110E2-110E7: 元音
110E8-110E8: 其他字母
110F0-110F9: 位數
11100-11102: 各種標誌
11103-11106: 獨立元音
11107-11126: 輔音
11127-11132: 相關元音符號
11133-11134: 各種標誌
11136-1113F: 位數
11140-11143: 標點
11144-11144: 輔音
11145-11146: 相關元音符號
11147-11147: 輔音
11150-11154: 元音
11155-11172: 輔音
11173-11173: 標誌
11174-11175: 標點
11176-11176: 字連字
11180-11182: 各種標誌
11183-11190: 獨立元音
11191-111B2: 輔音
111B3-111BF: 相關元音符號
111C0-111C0: 維拉瑪
111C1-111C4: 各種標誌
111C5-111C8: 標點
111C9-111C9: 標誌
111CA-111CC: 克什米爾語的跡象
111CD-111CD: 標點
111CE-111CE: 歷史元音標誌
111CF-111CF: 標誌
111D0-111D9: 位數
111DA-111DD: 標點
111DE-111DF: 截面標記
111E1-111E9: 歷史數字
111EA-111F4: 歷史數字
11200-11207: 獨立元音
11208-1122B: 輔音
1122C-11233: 相關元音符號
11234-11237: 各種標誌
11238-1123D: 標點
1123E-1123E: 標誌
#1123F-1123F: ***Consonant
#11240-11240: ***Independent vowel
#11241-11241: ***Dependent vowel sign
11280-11283: 元音
11284-112A8: 輔音
112A9-112A9: 標點
112B0-112B9: 獨立元音
112BA-112DE: 輔音
112DF-112DF: 標誌
112E0-112E8: 相關元音符號
112E9-112EA: 各種標誌
112F0-112F9: 位數
11300-11303: 各種標誌
11305-11314: 獨立元音
11315-11339: 輔音
1133B-1133D: 各種標誌
1133E-11348: 相關元音符號
1134B-1134C: 兩部分相依元音符號
1134D-1134D: 維拉瑪
11350-11350: 標誌
11357-11357: 相依元音符號
1135D-1135D: 標誌
1135E-1135F: Anusvaras
11360-11361: 獨立元音
11362-11363: 相關元音符號
11366-11374: Samaveda的懸臂標記（svara）
11400-1140D: 獨立元音
1140E-11434: 輔音
11435-11441: 相關元音符號
11442-11448: 各種標誌
11449-1144A: 調用標誌
1144B-1144F: 標點
11450-11459: 位數
1145A-1145A: 標點
1145B-11461: 各種標誌
11480-11480: 標誌
11481-1148E: 獨立元音
1148F-114AF: 輔音
114B0-114BE: 相關元音符號
114BF-114C7: 各種標誌
114D0-114D9: 位數
11580-1158D: 獨立元音
1158E-115AE: 輔音
115AF-115BB: 相關元音符號
115BC-115C0: 各種標誌
115C1-115C1: 頭部標記
115C2-115C5: 標點
115C6-115C8: 重複標記
115C9-115C9: 終端標記
115CA-115D7: 截面標記
115D8-115DB: 備用字母
115DC-115DD: 替代元音符號
11600-1160D: 獨立元音
1160E-1162F: 輔音
11630-1163C: 相關元音符號
1163D-11640: 各種標誌
11641-11643: 標點
11644-11644: 標誌
11650-11659: 位數
11660-1166C: 標點
11680-11689: 獨立元音
1168A-116AA: 輔音
116AB-116AC: 各種標誌
116AD-116B5: 相關元音符號
116B6-116B6: 維拉瑪
116B7-116B7: 努塔
116B8-116B8: 輔音
#116B9-116B9: ***Punctuation
116C0-116C9: 位數
11700-1171A: 輔音
1171D-1171F: 中位
11720-1172B: 元音符號
11730-11739: 位數
1173A-1173B: 號碼
1173C-1173F: 標點
#11740-11746: ***Additional consonants
11800-11809: 獨立元音
1180A-1182B: 輔音
1182C-11836: 相關元音符號
11837-1183A: 各種標誌
1183B-1183B: 標點
118A0-118A9: 大寫元音
118AA-118BF: 大寫輔音
118C0-118C9: 小寫元音
118CA-118DF: 小寫輔音
118E0-118E9: 位數
118EA-118F2: 號碼
118FF-118FF: 標誌
11900-11909: 獨立元音
1190C-1192F: 輔音
11930-11938: 相關元音符號
1193B-1193C: 鼻化跡象
1193D-1193F: 跡象
11940-11942: 連詞
11943-11943: 努塔
11944-11946: 標點
11950-11959: 位數
119A0-119AD: 獨立元音
119AE-119D0: 輔音
119D1-119DD: 相關元音符號
119DE-119E2: 各種標誌
119E3-119E3: 標點
119E4-119E4: 相依元音符號
11A00-11A00: 元音字母
11A01-11A09: 元音符號
11A0A-11A0A: 元音長度標記
11A0B-11A32: 輔音
11A33-11A33: 最終輔音標記
11A34-11A34: 維拉瑪
11A35-11A37: 坎德拉賓杜和坎德拉飾品
11A38-11A39: 梵語標誌
11A3A-11A3A: 簇首輔音
11A3B-11A3E: 簇尾輔音
11A3F-11A40: 頭部標記
11A41-11A44: 標點
11A45-11A46: 頭部標記
11A47-11A47: 子連接
11A50-11A50: 元音字母
11A51-11A5A: 元音符號
11A5B-11A5B: 元音長度標記
11A5C-11A83: 輔音
11A84-11A85: 替代性簽證
11A86-11A89: 簇首字母
11A8A-11A95: 最終輔音符號
11A96-11A97: 各種標誌
11A98-11A98: 標記
11A99-11A99: 子連接
11A9A-11A9C: 標點
11A9D-11A9D: 伸長率標記
11A9E-11AA0: 頭部標記
11AA1-11AA2: 終端標記
#11AB0-11ABB: ***Syllables for Nattilik
#11ABC-11ABF: ***Historic syllables for Cree and Ojibway
11AC0-11AD4: 輔音
11AD5-11ADB: 元音
11ADC-11AE4: 最終輔音
11AE5-11AF8: 色調標記
#11B00-11B01: ***Head marks
#11B02-11B09: ***Auspicious signs
