0000-001F: C0コントロール
2668-2668: その他の記号
2669-266F: 音楽記号
2670-2671: シリアのクロスシンボル
2672-267D: リサイクルシンボル
267E-267F: その他の記号
2680-2685: サイコロ
2686-2689: マーカーを行く
268A-268F: Yijingモノグラムおよびダイグラムシンボル
2690-269B: 辞書と地図記号
269C-269D: その他の記号
269E-269F: ARIB STD B24のクローズドキャプションの記号
26A0-26A1: その他の記号
26A2-26A9: 性別記号
26AA-26AC: サークル
26AD-26B1: 系図記号
26B2-26B2: 性別記号
26B3-26B8: 占星術の兆候
26B9-26BC: 占星術の側面
26BD-26BE: スポーツシンボル
26BF-26BF: ARIB STD B24のその他の記号
26C0-26C3: 下書きとチェッカーの記号
26C4-26C8: ARIB STD B24の天気記号
26C9-26CB: ARIB STD B24のゲームシンボル
26CC-26CD: ARIB STD B24からの交通標識
26CE-26CE: 黄道帯のシンボル
26CF-26E1: ARIB STD B24からの交通標識
26E2-26E2: 天文記号
26E3-26E3: ARIB STD B24の地図記号
26E4-26E7: 五芒星のシンボル
26E8-26FF: ARIB STD B24のマップシンボル
2700-2718: 雑多
2719-2720: 交差する
2721-273D: 星とアスタリスク
273E-2741: フリューロン
2742-274B: 星、アスタリスク、雪片
274C-275A: 雑多
275B-2765: 句読点の装飾
2766-2767: フリューロン
2768-2775: 装飾ブラケット
2776-2793: 絵文字丸数字
2794-2794: 絵記号矢印
2795-2797: 算術記号の重い変形
2798-27AF: 絵記号の矢
27B0-27B0: 雑多
27B1-27BE: 絵記号の矢
27BF-27BF: 雑多
27C0-27C4: その他の記号
27C5-27C6: 対になった句読点
27C7-27C7: オペレーター
27C8-27C9: その他の記号
27CA-27CA: 垂直線演算子
27CB-27CB: その他の記号
27CC-27CC: 除算演算子
27CD-27CD: その他の記号
27CE-27CF: オペレーター
27D0-27D0: その他の記号
27D1-27D4: オペレーター
27D5-27D7: データベース理論の演算子
27D8-27DF: タックとターンスタイル
27E0-27E5: モーダル論理演算子
27E6-27EF: 数学的括弧
27F0-27F4: 矢
27F5-27FF: 長い矢印
2800-28FF: 点字パターン
2900-2918: その他の矢印
2919-291C: 矢尻
291D-2926: その他の矢印
2927-2932: 結び目理論の交差矢印
2933-2941: その他の曲線矢印
2942-2949: 演算子と組み合わせた矢印
294A-2951: 二重棘付きモリ
2952-2961: 修正された銛
2962-296F: ペアにされた銛
2970-2970: その他の矢印
2971-297B: 関係を組み合わせた矢印
297C-297F: フィッシュテイル
2980-2982: その他の数学記号
2983-298C: ブラケット
298D-2990: 目盛り付きブラケット
2991-2998: ブラケット
2999-299A: フェンス
299B-29AF: 角度
29B0-29B4: 空のセット
29B5-29C3: 円記号
29C4-29C9: 正方形の記号
29CA-29D0: 三角形の記号
29D1-29D7: ボウタイシンボル
29D8-29DB: フェンス
29DC-29E2: その他の数学記号
29E3-29E6: 関係
29E7-29ED: その他の数学記号
29EE-29F3: エラーバー記号
29F4-29F7: その他の数学記号
29F8-29F9: 大手オペレーター
29FA-29FB: 特殊なプラス記号演算子
29FC-29FD: ブラケット
29FE-29FF: ゲーム理論で使用される記号
2A00-2A09: N項演算子
2A0A-2A1C: 総和と積分
2A1D-2A21: その他の大規模オペレーター
2A22-2A2E: プラス記号とマイナス記号の演算子
2A2F-2A38: 乗算と除算の記号演算子
2A39-2A3F: その他の数学演算子
2A40-2A50: 交差とユニオン
2A51-2A63: 論理ANDおよびOR
2A64-2A65: その他の数学演算子
2A66-2ABC: 関係演算子
2ABD-2AD8: サブセットとスーパーセットの関係
2AD9-2ADD: フォーク
2ADE-2AED: タックとターンスタイル
2AEE-2AF5: 垂直線演算子
2AF6-2AF6: その他の数学演算子
2AF7-2AFB: 関係
2AFC-2AFF: オペレーター
2B00-2B0D: 白と黒の矢印
2B0E-2B11: 先端が曲がっている矢印
2B12-2B15: 四角
2B16-2B19: ダイヤモンド
2B1A-2B1E: 四角
2B1F-2B20: ペンタゴン
2B21-2B23: 六角形
2B24-2B24: サークル
2B25-2B2B: ダイヤモンドとトローチ
2B2C-2B2F: 楕円
2B30-2B4C: 数学的矢印
2B4D-2B4D: その他の矢印
2B4E-2B4F: リトアニア方言のイントネーションマーク
2B50-2B52: 出演者
2B53-2B54: ペンタゴン
2B55-2B55: ARIB STD B24からの交通標識
2B56-2B59: ARIB STD B24の辞書および地図記号
2B5A-2B5F: リトアニア方言のイントネーションマーク
2B60-2B7D: 三角形の矢印
2B7E-2B7F: キーボード記号
2B80-2B87: 対の三角形の矢印
2B88-2B8B: 丸矢印
2B8C-2B8F: 三角形の頭を持つU字型の矢印
2B90-2B93: キーボード記号
2B94-2B94: その他の矢印記号
2B95-2B95: 黒い矢印
2B97-2B97: その他の記号
2B98-2B9F: 矢じり
2BA0-2BA7: 先端が曲がった三角形の矢印
2BA8-2BAF: 黒い曲線矢印
2BB0-2BB7: リボンアロー
2BB8-2BB9: キーボード記号
2BBA-2BBC: チェス記法で使用される記号
2BBD-2BBF: 幾何学シンボル
2BC0-2BC8: 中央揃えの幾何学的形状
2BC9-2BC9: 天文記号
2BCA-2BCB: 半円
2BCC-2BCF: カスプ形状
2BD0-2BD2: その他の記号
2BD3-2BD6: 冥王星の占星術のシンボル
2BD7-2BDF: その他の占星術のシンボル
2BE0-2BE7: 天王星占星術のシンボル
2BE8-2BEB: ハーフスター文字
2BEC-2BEF: 両方向矢印記号
2BF0-2BF2: エリスとセドナの占星術のシンボル
2BF3-2BF8: ロシア占星術の側面
2BF9-2BFE: チェス記法で使用される記号
2BFF-2BFF: その他の記号
2C00-2C2E: 大文字
2C30-2C5E: 小文字
2C60-2C66: ラテン語の正書法の追加
2C67-2C6C: ウイグル語の追加
2C6D-2C74: その他の追加
2C75-2C76: クローディアンの手紙
2C77-2C7D: UPAの追加
2C7E-2C7F: ショナの追加
2C80-2CB1: ボヘアのコプト文字
2CB2-2CDB: 古いコプトと方言
2CDC-2CE3: 古いヌビア文字
2CE4-2CEA: シンボル
2CEB-2CEE: 暗号文字
2CEF-2CF1: マークを組み合わせる
2CF2-2CF3: ボヘアのコプト文字
2CF9-2CFC: 古いヌビア語句読点
2CFD-2CFD: 数字
2CFE-2CFF: 句読点
2D00-2D25: 小文字（フツリ）
2D27-2D27: 追加の手紙
2D2D-2D2D: オセチア語の追加の手紙
2D30-2D67: 手紙
2D6F-2D6F: 修飾文字
2D70-2D70: 句読点
2D7F-2D7F: 符号
2D80-2D92: 私のための音節
2D93-2D96: ブリンの音節
2DA0-2DBE: ベンチ用音節
2DC0-2DDE: セバトベイトの音節
2DE0-2DFF: 古い教会のスラヴ語の結合文字
2E00-2E0D: 新約聖書の編集記号
2E0E-2E16: 古代ギリシャ語のテキスト記号
2E17-2E17: 古代近東の言語記号
2E18-2E19: 一般的な句読点
2E1A-2E1B: 辞書の句読点
2E1C-2E1D: ブラケット
2E1E-2E1F: 辞書の句読点
2E20-2E21: ブラケット
2E22-2E25: ハーフブラケット
2E26-2E29: ブラケット
2E2A-2E31: 歴史的な句読点
2E32-2E32: 古型音訳記号
2E33-2E34: 歴史的な句読点
2E35-2E39: 古型音訳記号
2E3A-2E3B: ダッシュ
2E3C-2E3E: 句読点の代替形式
2E3F-2E3F: 歴史的な句読点
2E40-2E40: 二重ハイフン
2E41-2E42: 句読点を逆にする
2E43-2E44: その他の句読点
2E45-2E49: タイピコンの句読点
2E4A-2E52: 歴史的な句読点
2E80-2EF3: CJKラジカルサプリメント
2F00-2FD5: 康熙部首
2FF0-2FFB: 表意文字
3000-3007: CJK記号と句読点
3008-300B: CJK山かっこ
300C-300F: CJK角かっこ
3010-3011: CJKブラケット
3012-3013: CJKシンボル
3014-301B: CJKブラケット
301C-301F: CJK句読点
3020-3020: CJK記号
3021-3029: 蘇州数字
302A-302F: トーンマークを組み合わせる
3030-3030: その他のCJK句読点
3031-3035: かな繰り返しマーク
3036-3037: その他のCJK記号
3038-303A: 追加の蘇州数字
303B-303D: その他のCJK句読点
303E-303F: 特別なCJKインジケーター
3041-3094: ひらがな
3095-3096: 小文字
3099-309C: 発声マーク
309D-309E: 反復マーク
309F-309F: ひらがなダイグラフ
30A0-30A0: カタカナ句読点
30A1-30FA: カタカナ
30FB-30FC: 接続記号と長さ記号
30FD-30FE: 反復マーク
30FF-30FF: カタカナダイグラフ
3105-3129: GB 2312に基づく
312A-312C: 方言（非マンダリン）の手紙
312D-312F: その他の追加
3131-314E: 子音文字
314F-3163: 母音
3164-3164: 特殊キャラクター
3165-3186: 古い子音文字
3187-318E: 古い母音文字
3190-3190: たててん
3191-319F: かえりてん
31A0-31B7: MinnanおよびHakka用の拡張Bopomofo
31B8-31BA: HmuおよびGe用の拡張Bopomofo
31BB-31BB: MinnanおよびHakka用の拡張Bopomofo
31BC-31BF: 広東語用拡張ボポモフォ
31C0-31E3: CJKストローク
31F0-31FF: アイヌ語のふりがな
3200-320D: 括弧付きのハングル文字
320E-321C: 括弧付きハングル音節
321D-321E: 括弧付きの韓国語
3220-3243: 括弧付きの表意文字
3244-3247: ARIB STD B24の丸付き表意文字
3248-324F: ARIB STD B24の黒い四角に丸で囲まれた数字
3250-3250: ラテン語の2乗略語
3251-325F: 丸数字
3260-326D: 丸で囲まれたハングル文字
326E-327B: 丸で囲んだハングル音節
327C-327D: 丸で囲んだ韓国語
327E-327E: 丸で囲んだハングル音節
327F-327F: シンボル
3280-32B0: 丸付き表意文字
32B1-32BF: 丸数字
32C0-32CB: 数か月間の電信記号
32CC-32CF: ラテン語の2乗略語
32D0-32FE: 丸カタカナ
32FF-32FF: 日本の年号
3300-3357: 二乗カタカナ語
3358-3370: 時間の電信記号
3371-337A: ラテン語の2乗略語
337B-337E: 日本の年号
337F-337F: 日本法人
3380-3394: ラテン語の2乗略語
3395-3398: リッター記号を含む略語
3399-33DF: ラテン語の2乗略語
33E0-33FE: 日の電信記号
33FF-33FF: ラテン語の2乗略語
4DC0-4DFF: 宜京六グラム記号
A000-A014: 音節
A015-A015: 音節反復マーク
A016-A48C: 音節
A490-A4C6: イラジカル
A4D0-A4ED: 子音
A4EE-A4F7: 母音
A4F8-A4FD: トーン
A4FE-A4FF: 句読点
A500-A523: -eeの音節
A524-A548: -iの音節
A549-A570: -aの音節
A571-A594: -ooの音節
A595-A5B9: -uの音節
A5BA-A5E0: -oの音節
A5E1-A60A: -eの音節
A60B-A60C: 音節決勝
A60D-A60F: 句読点
A610-A612: 歴史的な音節
A613-A61F: ロゴグラム
A620-A629: 数字
A62A-A62B: 歴史的な音節
A640-A66E: 古いキリル文字
A66F-A66F: 略号
A670-A672: 数字記号を組み合わせる
A673-A673: 句読点
A674-A67D: 古いキリル文字の結合マーク
A67E-A67E: 句読点
A67F-A67F: 修飾文字
A680-A697: 古アブハシア正書法への手紙
A698-A69B: 古いキリル文字
A69C-A69D: リトアニア方言のイントネーションマーク
A69E-A69F: 古いキリル文字の結合マーク
A6A0-A6EF: 音節
A6F0-A6F1: マークを組み合わせる
A6F2-A6F7: 句読点
A700-A707: 中国語のコーナートーンマーク
A708-A711: 点線の文字
A712-A716: 左ステムトーン文字
A717-A71A: Chinantecトーンマーク
A71B-A71F: アフリカントーンの文字
A720-A721: UPAの追加
A722-A725: エジプトの追加
A726-A72F: マヤニストの追加
A730-A778: 中世の追加
A779-A787: 島国とケルト主義の手紙
A788-A78A: 修飾文字
A78B-A78C: 声門用の正字
A78D-A78D: 追加の手紙
A78E-A78E: 表音記号
A78F-A78F: 文字変換文字
A790-A793: 追加の手紙
A794-A795: リトアニア方言の追加
A796-A797: ベトナム中部への手紙
A798-A799: 羊のための古風な手紙
A79A-A79F: ヴォラピュクのための古風な手紙
A7A0-A7A9: 1921年以前のラトビア語正書法への手紙
A7AA-A7AD: 追加の手紙
A7AE-A7AE: 西アフリカ言語の手紙
A7AF-A7AF: 日本語の音訳の手紙
A7B0-A7B1: アメリカ人の正書法のための手紙
A7B2-A7B2: アフリカ言語の手紙
A7B3-A7B3: ドイツ方言学への手紙
A7B4-A7B7: アフリカ言語の手紙
A7B8-A7B9: マザワへの手紙（メキシコ）
A7BA-A7BF: ウガリットとエジプトの音訳への手紙
A7C2-A7C3: 追加の手紙
A7C4-A7C6: 初期のピンインのローマ字で使用された文字
A7C7-A7CA: ガリッシュの追加の手紙
A7F5-A7F7: 古代ガリア語とケルト語の文字
A7F8-A7F9: 拡張IPAの追加
A7FA-A7FA: UPAの追加
A7FB-A7FF: 古代ローマの文字
A800-A805: 独立母音とdvisvara
A806-A806: 符号
A807-A822: 子音と子音の兆候
A823-A827: 従属母音記号
A828-A82B: 詩のマーク
A82C-A82C: 符号
A830-A836: 番号フォーム
A837-A837: その他のサイン
A838-A838: 通貨記号
A839-A839: その他のサイン
A840-A85C: 子音
A85D-A85D: 文字A
A85E-A861: 母音
A862-A865: 子音
A866-A866: 母音
A867-A868: サブジョインされた子音
A869-A86C: サンスクリット語の子音の追加
A86D-A870: 中国語の代替子音フォーム
A871-A871: サブジョインされた子音
A872-A872: チベット語の子音追加
A873-A873: チャンドラビンドゥ
A874-A875: チベット人の頭印
A876-A877: チベット語の句読点
A880-A881: さまざまな兆候
A882-A891: 独立母音
A892-A8B4: 子音
A8B5-A8C3: 従属母音記号
A8C4-A8C4: ビラマ
A8C5-A8C5: 符号
A8CE-A8CF: 句読点
A8D0-A8D9: 数字
A8E0-A8F1: サマベダのカンチレーションマーク（svara）
A8F2-A8F7: 鼻音の痕跡
A8F8-A8FB: 編集マーク
A8FC-A8FD: サイン
A8FE-A8FF: 追加の母音と母音記号
A900-A909: 数字
A90A-A925: 子音
A926-A92A: 母音
A92B-A92D: トーンマーク
A92E-A92F: 句読点
A930-A946: 子音
A947-A94E: 母音記号
A94F-A952: 子音の兆候
A953-A953: ビラマ
A95F-A95F: 句読点
A960-A97C: 古い初期の子音
A980-A983: さまざまな兆候
A984-A9B2: 手紙
A9B3-A9B3: 符号
A9B4-A9BC: 従属母音記号
A9BD-A9BF: 依存性の子音の兆候
A9C0-A9C0: 符号
A9C1-A9CD: 句読点
A9CF-A9CF: 音節再複製子
A9D0-A9D9: 数字
A9DE-A9DF: 省略記号
A9E0-A9E5: Shan Paliの追加
A9E6-A9E6: 重複マーク
A9E7-A9EF: タイライン子音
A9F0-A9F9: 太平桁
A9FA-A9FE: タイライン子音
AA00-AA05: 独立母音
AA06-AA28: 子音
AA29-AA32: 従属母音記号
AA33-AA36: 子音の兆候
AA40-AA4D: 最終子音
AA50-AA59: 数字
AA5C-AA5F: 句読点
AA60-AA73: カムティシャンの子音
AA74-AA76: カムティシャンのロゴ
AA77-AA7A: アイトンの記号と文字
AA7B-AA7B: パオカレントーンマーク
AA7C-AA7D: タイライントーンマーク
AA7E-AA7F: シュエパラウンの手紙
AA80-AAAF: 子音
AAB0-AABE: 母音と決勝
AABF-AAC2: トーン
AADB-AADC: 単語合字記号
AADD-AADD: 繰り返しマーク
AADE-AADF: 句読点
AAE0-AAE1: 独立した母音記号
AAE2-AAEA: 子音
AAEB-AAEF: 従属母音記号
AAF0-AAF1: 句読点
AAF2-AAF2: 符号
AAF3-AAF4: 繰り返しマーク
AAF5-AAF5: 符号
AAF6-AAF6: ビラマ
AB01-AB0E: ガモゴファダウロとバスケット
AB11-AB16: ガモゴファドーロ
AB20-AB2E: グムズ
AB30-AB5A: ドイツ方言学への手紙
AB5B-AB5F: ドイツの弁証法のための修飾文字
AB60-AB63: サハ（ヤクート）の歴史的な手紙
AB64-AB65: アメリカ人の正書法のための手紙
AB66-AB67: Sinological転写のための手紙
AB68-AB6B: スコットランド方言学への手紙
AB70-ABBF: 小文字音節
ABC0-ABDA: 手紙
ABDB-ABE2: 最終子音
ABE3-ABEA: 従属母音記号
ABEB-ABED: 句読点
ABF0-ABF9: 数字
D7B0-D7C6: 古い内母音
D7CB-D7FB: 古い最後の子音
F900-FA0B: KS X 1001:1998の発音のバリエーション
FA0C-FA0D: Big 5からの重複文字
FA0E-FA2D: IBM 32互換表意文字
FA2E-FA2F: 韓国語互換表意文字
FA30-FA6A: JIS X 0213互換表意文字
FA6B-FA6D: ARIB互換表意文字
FA70-FAD9: 北朝鮮互換表意文字
FB00-FB06: ラテン語の合字
FB13-FB17: アルメニア合字
FB1D-FB4F: ヘブライ語のプレゼンテーションフォーム
FB50-FBB1: ペルシア語、ウルドゥー語、シンド語などの文脈依存文字のグリフ
FBB2-FBC1: アラビア語の教育的シンボル
FBD3-FBE9: 中央アジア言語の文脈依存文字のグリフ
FBEA-FD3D: 合字（2つの要素）
FD3E-FD3F: 句読点
FD50-FDC7: 合字（3つの要素）
FDD0-FDEF: 非文字
FDF0-FDFB: 単語合字
FDFC-FDFC: 通貨記号
FDFD-FDFD: シンボル
FE00-FE0D: バリエーションセレクター
FE0E-FE0F: 絵文字固有のバリエーションセレクター
FE10-FE19: 垂直バリアントのグリフ
FE20-FE23: ハーフマークを組み合わせる
FE24-FE26: コプトの連続マクロン
FE27-FE2D: 下のハーフマークを組み合わせる
FE2E-FE2F: ハーフマークを組み合わせる
FE30-FE44: 垂直バリアントのグリフ
FE45-FE46: 強調マークのサイドライニング
FE47-FE48: 垂直バリアントのグリフ
FE49-FE4F: オーバースコアとアンダースコア
FE50-FE6B: 小さなフォームバリアント
FE70-FE72: アラビア語の点の間隔を空けるためのグリフ
FE73-FE73: グリフ部分
FE74-FE7F: アラビア語の点の間隔を空けるためのグリフ
FE80-FEFC: アラビア語のコンテキストフォームの基本的なグリフ
FEFF-FEFF: 特別
FF01-FF5E: 全角ASCIIバリアント
FF5F-FF60: 全角括弧
FF61-FF64: 半角CJK句読点
FF65-FF9F: 半角カタカナ
FFA0-FFDC: 半角ハングルの変形
FFE0-FFE6: 全角記号のバリアント
FFE8-FFEE: 半角記号バリアント
FFF9-FFFB: 線間アノテーション
FFFC-FFFD: 置換文字
FFFE-FFFF: 非文字
10000-1003F: 基本音節
10040-1004D: 補足標識
10050-1005D: シンボル
10080-1008D: 人と動物
1008E-10094: 穀物と植物
10095-10099: 抽出物
1009A-1009C: 金属
1009D-100DD: その他の素材
100DE-100FA: 船舶
10100-10102: 句読点
10107-10133: 数字
10137-1013F: 対策
10140-10174: 古代ギリシャ語の有声数字
10175-1018B: 古代ギリシャの古文書番号
1018C-1018E: 古代ギリシャのシンボル
10190-10195: ローマの重みとメジャー
10196-1019A: ローマのコインのシンボル
1019B-1019C: その他のローマ文字の記号
101A0-101A0: ギリシャのシンボル
101D0-101FC: サイン
101FD-101FD: 組み合わせストローク
10280-1029C: 手紙
102A0-102D0: 手紙
102E0-102E0: 符号
102E1-102E9: 数字
102EA-102FB: 数字
10300-1031A: 手紙
1031B-1031C: ウンブリア文字
1031D-1031E: Oscanの文字
1031F-1031F: 南ピセン手紙
10320-10323: 数字
1032D-1032F: 北斜体文字
10330-1034A: 手紙
10350-10375: 手紙
10376-1037A: 文字を組み合わせる
10380-1039D: 手紙
1039F-1039F: 句読点
103A0-103A2: 独立母音
103A3-103C3: 子音
103C8-103CF: さまざまな兆候
103D0-103D0: 句読点
103D1-103D5: 数字
10400-10427: 大文字
10428-1044F: 小文字
10450-10463: 長くて深い文字（子音）
10464-10477: 短い文字
10478-1047F: 合字
10480-1049D: 手紙
104A0-104A9: 数字
104B0-104D3: 大文字
104D8-104FB: 小文字
10500-10527: 手紙
10530-10563: 手紙
1056F-1056F: 句読点
10600-1069F: シンプルな看板
106A0-106B2: 花瓶の形
106B3-10726: 複雑な兆候
10727-10736: 花瓶の形をした複雑な看板
10740-10755: 分数と複合分数
10760-10767: 追加の兆候
10800-1083F: 音節
10840-10855: 手紙
10857-10857: 句読点
10858-1085F: 数字
10860-10876: 手紙
10877-10878: シンボル
10879-1087F: 数字
10880-1089E: 手紙
108A7-108AF: 数字
108E0-108F5: 手紙
108FB-108FF: 数字
10900-10915: 手紙
10916-1091B: 数字
1091F-1091F: 句読点
10920-10939: 手紙
1093F-1093F: 句読点
10980-10983: 母音
10984-1099D: 子音文字
1099E-1099F: シンボル
109A0-109A3: 母音
109A4-109B7: 子音文字
109BC-109BD: 分数
109BE-109BF: ロゴグラム
109C0-109C8: 数字
109C9-109CF: 数十
109D2-109DA: 何百
109DB-109E3: 数千
109E4-109EC: 1万
109ED-109F5: 数十万
109F6-109FF: 分数
10A00-10A06: 母音
10A0C-10A0C: 長さマーク
10A0D-10A0F: さまざまな兆候
10A10-10A35: 子音
10A38-10A3A: さまざまな兆候
10A3F-10A3F: ビラマ
10A40-10A43: 数字
10A44-10A48: 数と分数
10A50-10A58: 句読点
10A60-10A7C: 手紙
10A7D-10A7F: 数字
10A80-10A9C: 手紙
10A9D-10A9F: 数字
10AC0-10AC7: 手紙
10AC8-10AC8: ロゴグラム
10AC9-10AE4: 手紙
10AE5-10AE6: マークを組み合わせる
10AEB-10AEF: 数字
10AF0-10AF6: 句読点
10B00-10B0F: 母音
10B10-10B35: 子音
10B39-10B3F: 句読点
10B40-10B55: 手紙
10B58-10B5F: 数字
10B60-10B72: 手紙
10B78-10B7F: 数字
10B80-10B91: 手紙
10B99-10B9C: 句読点
10BA9-10BAF: 数字
10C00-10C08: 母音
10C09-10C48: 子音
10C80-10CB2: 大文字
10CC0-10CF2: 小文字
10CFA-10CFF: 数字
10D00-10D1B: 手紙
10D1C-10D1C: 追加の手紙
10D1D-10D21: 母音
10D22-10D22: 母音消音器
10D23-10D23: 鼻音マーク
10D24-10D26: トーンサイン
10D27-10D27: ジェミネーションサイン
10D30-10D39: 数字
10E60-10E68: 数字
10E69-10E7A: 数字
10E7B-10E7E: 分数
10E80-10EA9: 手紙
10EAB-10EAC: マークを組み合わせる
10EAD-10EAD: 句読点
10EB0-10EB1: 分音記号付きの歴史的な手紙
10F00-10F1C: 手紙
10F1D-10F26: 数字
10F27-10F27: 結紮
10F30-10F44: 手紙
10F45-10F45: 蓄音機
10F46-10F50: マークを組み合わせる
10F51-10F54: 数字
10F55-10F59: 句読点
10FB0-10FC4: 手紙
10FC5-10FCB: 数字
10FE0-10FF5: 手紙
10FF6-10FF6: 結紮
11000-11004: さまざまな兆候
11005-11012: 独立母音
11013-11037: 子音
11038-11045: 従属母音記号
11046-11046: ビラマ
11047-1104D: 句読点
11052-11065: 数字
11066-1106F: 数字
1107F-1107F: 番号ジョイナー
11080-11082: さまざまな兆候
11083-1108C: 独立母音
1108D-110AF: 子音
110B0-110B8: 従属母音記号
110B9-110B9: ビラマ
110BA-110BD: さまざまな兆候
110BE-110C1: 句読点
110CD-110CD: 符号
110D0-110E1: 子音
110E2-110E7: 母音
110E8-110E8: その他の手紙
110F0-110F9: 数字
11100-11102: さまざまな兆候
11103-11106: 独立母音
11107-11126: 子音
11127-11132: 従属母音記号
11133-11134: さまざまな兆候
11136-1113F: 数字
11140-11143: 句読点
11144-11144: 子音
11145-11146: 従属母音記号
11147-11147: 子音
11150-11154: 母音
11155-11172: 子音
11173-11173: 符号
11174-11175: 句読点
11176-11176: 単語合字
11180-11182: さまざまな兆候
11183-11190: 独立母音
11191-111B2: 子音
111B3-111BF: 従属母音記号
111C0-111C0: ビラマ
111C1-111C4: さまざまな兆候
111C5-111C8: 句読点
111C9-111C9: 符号
111CA-111CC: カシミールの標識
111CD-111CD: 句読点
111CE-111CE: 歴史的な母音記号
111CF-111CF: 符号
111D0-111D9: 数字
111DA-111DD: 句読点
111DE-111DF: セクションマーク
111E1-111E9: 歴史的な数字
111EA-111F4: 歴史的な数字
11200-11207: 独立母音
11208-1122B: 子音
1122C-11233: 従属母音記号
11234-11237: さまざまな兆候
11238-1123D: 句読点
1123E-1123E: 符号
11280-11283: 母音
11284-112A8: 子音
112A9-112A9: 句読点
112B0-112B9: 独立母音
112BA-112DE: 子音
112DF-112DF: 符号
112E0-112E8: 従属母音記号
112E9-112EA: さまざまな兆候
112F0-112F9: 数字
11300-11303: さまざまな兆候
11305-11314: 独立母音
11315-11339: 子音
1133B-1133D: さまざまな兆候
1133E-11348: 従属母音記号
1134B-1134C: 2つの部分に依存する母音記号
1134D-1134D: ビラマ
11350-11350: 符号
11357-11357: 従属母音記号
1135D-1135D: 符号
1135E-1135F: Anusvaras
11360-11361: 独立母音
11362-11363: 従属母音記号
11366-11374: サマベダのカンチレーションマーク（svara）
11400-1140D: 独立母音
1140E-11434: 子音
11435-11441: 従属母音記号
11442-11448: さまざまな兆候
11449-1144A: 呼び出しサイン
1144B-1144F: 句読点
11450-11459: 数字
1145A-1145A: 句読点
1145B-11461: さまざまな兆候
11480-11480: 符号
11481-1148E: 独立母音
1148F-114AF: 子音
114B0-114BE: 従属母音記号
114BF-114C7: さまざまな兆候
114D0-114D9: 数字
11580-1158D: 独立母音
1158E-115AE: 子音
115AF-115BB: 従属母音記号
115BC-115C0: さまざまな兆候
115C1-115C1: ヘッドマーク
115C2-115C5: 句読点
115C6-115C8: 繰り返しマーク
115C9-115C9: 端子マーク
115CA-115D7: セクションマーク
115D8-115DB: 代替文字
115DC-115DD: 代替母音記号
11600-1160D: 独立母音
1160E-1162F: 子音
11630-1163C: 従属母音記号
1163D-11640: さまざまな兆候
11641-11643: 句読点
11644-11644: 符号
11650-11659: 数字
11660-1166C: 句読点
11680-11689: 独立母音
1168A-116AA: 子音
116AB-116AC: さまざまな兆候
116AD-116B5: 従属母音記号
116B6-116B6: ビラマ
116B7-116B7: ヌクタ
116B8-116B8: 子音
116C0-116C9: 数字
11700-1171A: 子音
1171D-1171F: 内側
11720-1172B: 母音記号
11730-11739: 数字
1173A-1173B: 数字
1173C-1173F: 句読点
11800-11809: 独立母音
1180A-1182B: 子音
1182C-11836: 従属母音記号
11837-1183A: さまざまな兆候
1183B-1183B: 句読点
118A0-118A9: 大文字の母音
118AA-118BF: 大文字の子音
118C0-118C9: 小文字の母音
118CA-118DF: 小文字の子音
118E0-118E9: 数字
118EA-118F2: 数字
118FF-118FF: 符号
11900-11909: 独立母音
1190C-1192F: 子音
11930-11938: 従属母音記号
1193B-1193C: 鼻炎の兆候
1193D-1193F: サイン
11940-11942: 論理積固有の文字
11943-11943: ヌクタ
11944-11946: 句読点
11950-11959: 数字
119A0-119AD: 独立母音
119AE-119D0: 子音
119D1-119DD: 従属母音記号
119DE-119E2: さまざまな兆候
119E3-119E3: 句読点
119E4-119E4: 従属母音記号
11A00-11A00: 母音
11A01-11A09: 母音記号
11A0A-11A0A: 母音長マーク
11A0B-11A32: 子音
11A33-11A33: 最終子音マーク
11A34-11A34: ビラマ
11A35-11A37: カンドラビンドゥとカンドラの装飾品
11A38-11A39: サンスクリット語の標識
11A3A-11A3A: クラスター初期子音
11A3B-11A3E: クラスター最終子音
11A3F-11A40: ヘッドマーク
11A41-11A44: 句読点
11A45-11A46: ヘッドマーク
11A47-11A47: サブジョイナー
11A50-11A50: 母音
11A51-11A5A: 母音記号
11A5B-11A5B: 母音長マーク
11A5C-11A83: 子音
11A84-11A85: 代替ビサルガ徴候
11A86-11A89: クラスターの頭文字
11A8A-11A95: 最終的な子音の兆候
11A96-11A97: さまざまな兆候
11A98-11A98: ジェミネーションマーク
11A99-11A99: サブジョイナー
11A9A-11A9C: 句読点
11A9D-11A9D: 伸びマーク
11A9E-11AA0: ヘッドマーク
11AA1-11AA2: 端子マーク
11AC0-11AD4: 子音
11AD5-11ADB: 母音
11ADC-11AE4: 最終子音
11AE5-11AF8: トーンマーク
11C00-11C0D: 独立母音
11C0E-11C2E: 子音
11C2F-11C3B: 従属母音記号
11C3C-11C40: さまざまな兆候
11C41-11C43: 句読点
11C44-11C45: ギャップフィラー
11C50-11C59: 数字
11C5A-11C6C: 数字
11C70-11C71: 句読点
11C72-11C8F: 手紙
11C92-11CAF: サブジョインされた文字
11CB0-11CB4: 従属母音記号
11CB5-11CB6: さまざまな兆候
11D00-11D0B: 母音
11D0C-11D2D: 子音
11D2E-11D30: 連接文字
